Year,Mo,Dy,Hr,Mn,Sec,Tsunami Event Validity,Tsunami Cause Code,Earthquake Magnitude,Deposits,Country,Occurences,Location Name,Latitude,Longitude,Maximum Water Height (m),Number of Runups,Tsunami Magnitude (Iida),Tsunami Intensity,Total Deaths,Total Missing,Total Missing Description,Total Injuries,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Damaged
1881,7,12,,,,2,1,,0,Fiji,7,FIJI ISLANDS,-16,179,0.46,1,1,1,,,,,,,,
1881,7,14,,,,3,1,,0,Chile,151,NORTHERN CHILE,-20.2,-70.1,1.4,1,0.5,1,,,,,,,,
1881,8,12,,,,1,1,,0,Jamaica,5,KINGSTON,17.97,-76.8,0.46,1,,,,,,,,,,
1881,10,25,,,,2,1,7,0,Japan,225,HOKKAIDO ISLAND,43.3,147.3,,2,,1.5,,,,,,,,
1881,10,27,,,,2,1,,0,Chile,151,NORTHERN CHILE,-19.6,-70.2,,1,,,,,,,,,,
1881,11,24,,,,1,1,,0,Tonga,19,ISLAND OF TONGATAPU,,,,0,,,,,,,,,,
1881,12,15,20,,,2,8,,0,Greece,113,AETOLIKO LAGOON,38.4,21.4,2,0,,3,,,,,,,,
1881,12,31,,,,3,1,7.9,1,India,15,BAY OF BENGAL: W OF CAR NICOBAR IS,8.52,92.43,1.22,11,0.3,,,,,,,3,,
1882,1,,,,,3,1,,0,Sri Lanka,1,SRI LANKA,8.567,81.233,,1,,,,,,,,,,
1882,2,23,,,,2,1,,0,Chile,151,CENTRAL CHILE,-33.58,-71.63,,1,,,,,,,,,,
1882,4,13,,,,2,1,,0,New Zealand,86,"GLENBURN, WAIRARAPA",-41.32,175.84,1.2,1,,,,,,,,,,
1882,7,,,,,2,2,,1,Vietnam,6,BINH THUAN,10.8,108.1,,1,,,,,,,,,,
1882,9,7,7,50,,4,3,7.9,0,Panama,10,SAN BLAS ARCHIPELAGO,10,-79,3,3,,1,,,,,,3,,
1882,9,14,,,,2,1,,0,Chile,151,NORTHERN CHILE,-19.6,-70.2,,1,,,,,,,,,,
1882,10,10,,,,3,1,7.5,0,Indonesia,228,BANDA SEA,-4.5,129.9,,1,,0.5,,,,,,,,
1882,12,9,,,,0,1,6.2,0,Taiwan,21,SOUTH CHINA SEA,24.5,120.5,,0,,,8,,,3,,1,40,
1882,,,,,,-1,,,0,China,23,HUBEI PROVINCE,,,,0,,,,,,,,,,
1883,3,12,,,,3,0,,0,Mexico,59,S. MEXICO,,,,1,,2,,,,,,,,
1883,3,24,,,,2,2,,0,Samoa,16,SAMOA,,,,1,,1,,,,,,1,,
1883,5,20,,,,1,0,,0,Indonesia,228,"HORN ISLAND [AYER ISLAND], JAKARTA",-6.004,106.781,,0,,1,,,,,,,,
1883,5,31,,,,1,0,,0,Indonesia,228,BANKA ISLAND,-2.25,106,,1,,0,,,,,,,,
1883,6,27,,,,2,1,,0,Greece,113,IONIAN ISLANDS,39.5,20,,0,,3,,,,,,,,
1883,8,27,2,59,,4,6,,14,Indonesia,228,KRAKATAU,-6.102,105.423,41,101,5.1,4,36417,,,,,4,,
1883,10,6,19,4,,4,7,,8,United States of America,283,"COOK INLET, AK",59.4,-153.4,9.14,3,3.2,3,8,,,,,1,,
1883,10,10,,,,2,6,,0,Indonesia,228,JAVA-S. JAVA,-6.102,105.423,,1,,0,,,,,,,,
1883,11,14,,,,1,0,,0,United States of America,283,"PUUNALUU, HAWAII",19.133,-155.505,,0,,,,,,,,1,,
1884,1,14,,,,2,0,,0,Uruguay,3,MONTEVIDEO,-34.917,-56.167,,1,,,,,,,,,,
1884,1,25,,,,-1,0,,0,United States of America,283,N. CALIFORNIA,38,-122,,1,,,,,,,,,,
1884,1,,,,,1,1,,0,Fiji,7,MACUATA,-16,179,,1,,,,,,,,1,,
1884,2,,,,,2,6,,0,Indonesia,228,KRAKATAU,-6.102,105.423,,0,,0,,,,,,,,
1884,7,20,9,30,,4,1,6.2,0,Eritrea,1,OFFSHORE MASSAWA,15.7,39.6,,1,,,,,,,,2,,
1884,8,10,19,7,,2,1,5.5,0,United States of America,283,"ROCKAWAY BEACH, NEW YORK",40.6,-73.75,1.8,9,,,,,,,,,,
1884,9,19,,,,0,0,,0,United States of America,283,"IN THE DETROIT RIVER, MI",42.35,-82.95,,1,,,,,,,,,,
1884,11,5,,,,1,1,7.5,0,Panama,10,GULF OF PANAMA,7.5,-79,,3,,,,,,,,2,,
1884,11,12,,,,1,9,,0,United States of America,283,N. CALIFORNIA,40,-122,0.1,1,,-3,,,,,,,,
1884,11,15,,,,-1,9,,0,Japan,225,OKAYAMA PREFECTURE,,,,2,,0,,,,,,,,
1884,12,21,,,,1,1,,0,United States of America,283,"NEW HAVEN, CT",41.31,-72.92,2.4,3,,,,,,,,,,
1885,1,16,8,,,3,0,,0,France,8,LIGURIAN SEA,,,,0,,4,,,,,,,,
1885,1,29,7,30,,1,2,,0,Algeria,12,ALGERIA,36.85,4.53,,0,,,,,,,,,,
1885,4,30,,,,3,1,7.3,0,Indonesia,228,MOLUCCAS ISLANDS,-2.5,127.5,1.2,2,,0.5,,,,,,1,3,
1885,7,29,,,,2,1,6.8,0,Indonesia,228,"AJERBANGIS, SUMATRA",0,99.5,,1,,0,,,,,,,,
1885,8,3,,,,3,0,,0,Indonesia,228,SULAWESI ISLAND,1.1,124.3,,2,,0,,,,,,,,
1885,11,12,,,,3,1,,0,Chile,151,NORTHERN CHILE,-20.2,-70.1,1,1,,0.5,,,,,,,,
1885,11,19,,,,1,9,,0,United States of America,283,N. CALIFORNIA,,,,1,,,,,,,,,,
1885,11,24,,,,-1,9,,0,United States of America,283,N. CALIFORNIA,,,,2,,,,,,,,,,
1885,12,14,,,,1,1,,0,Indonesia,228,BANDA ACEH,5.55,95.3,,1,,,,,,,,,,
1886,1,31,,,,1,1,,0,Indonesia,228,BANDA ACEH,5.6,95.3,,1,,,,,,,,,,
1886,6,1,,,,0,4,,0,New Zealand,86,"LAKE TARAWERA, NORTH ISLAND",-38.18,176.43,0.3,0,,,,,,,,,,
1886,8,27,21,32,,3,1,7.5,0,Greece,113,IONIAN SEA,37.1,21.5,,1,,3,,,,,,,,
1886,8,29,,,,-1,1,,0,Chile,151,SC. CHILE,,,,0,,,,,,,,,,
1886,9,1,2,51,0,4,1,7.3,0,United States of America,283,"CHARLESTON, SC",32.9,-80,,3,,,,,,,,,,
1886,12,,,,,4,8,,0,New Zealand,86,"JACKSON BAY, SOUTH ISLAND",-43.957,168.616,,0,,,,,,,,,,
1886,,,,,,1,1,,0,Bangladesh,5,BAY OF BENGAL,,,,0,,,,,,,,,,
1887,2,2,,,,1,1,,0,Philippines,79,PANAY ISLAND,10.7,122.6,,1,,,,,,,,2,,
1887,2,5,,,,-1,1,,0,United States of America,283,HAWAII,19,-155,,1,,,,,,,,,,
1887,2,23,6,20,,3,1,,0,Italy,91,LIGURIAN SEA,43.7,8.1,2,0,,3,,,,,,,,
1887,5,3,9,,,1,3,7.4,0,Mexico,59,N. MEXICO,30.8,-109.25,,1,,1,51,,,,,3,,
1887,5,19,,,,1,1,,0,Indonesia,228,"SIGLI, ACEH, SUMATRA",5.4,96,,1,,,,,,,,,,
1887,7,8,,,,2,0,,0,United States of America,283,N. CALIFORNIA,,,0.06,1,,,,,,,,,,
1887,9,23,12,,,4,1,,0,Haiti,6,MOLE SAINT-NICOLAS,19.7,-74.4,,4,,,,,,,,,,
1887,10,3,,,,2,1,6.2,0,Greece,113,"PELOPONNESUS, GREECE",38.3,22.8,,2,,3,,,,,,,,
1888,3,13,,,,4,7,,1,Papua New Guinea,75,RITTER ISLAND,-5.52,148.121,15,12,3.4,3.5,,,,,,3,,
1888,3,21,,,,1,1,,0,Indonesia,228,BREUEH ISLAND,5.8,95,,1,,,,,,,,,,
1888,4,23,,,,4,8,,0,Norway,24,MID-NORWAY,63.433,10.383,7,2,,3,1,,,,,1,,
1888,6,5,,,,1,1,,0,Uruguay,3,LA PLATA RIVER,-34.5,-57.9,,0,,,,,,,,,,
1888,6,13,,,,0,1,7.5,0,China,23,BOHAI GULF,38.5,119,,1,,,,,,,,3,,
1888,7,30,8,27,,2,1,,0,Italy,91,LIGURIAN SEA,,,,0,,3,,,,,,,,
1888,9,9,15,4,,4,1,6.1,0,Greece,113,GULF OF CORINTH,38.2,22.1,,0,,,,,,,,,,
1889,1,1,,,,1,0,,0,United States of America,283,HAWAII,,,,0,,,,,,,,,,
1889,3,8,,,,2,0,,0,Tonga,19,TONGA,,,11,3,,,,,,,,,,
1889,5,25,18,23,,3,1,6.8,0,Philippines,79,MINDORO ISLAND,13.5,121,0.1,1,,-3,,,,,,2,,
1889,8,16,,,,2,0,,0,Indonesia,228,JAVA-S. JAVA,-6.05,105.92,,1,,1,,,,,,,,
1889,9,6,12,,,4,1,8,1,Indonesia,228,N. MOLUCCAS ISLANDS,1,126.25,4,7,1,2.5,,,,,,2,,
1889,9,8,,,,-1,9,,0,United States of America,283,"ASBURY PARK, NJ",,,,0,,,,,,,,,,
1889,9,8,,,,-1,,,0,Indonesia,228,MOLUCCAS ISLANDS,,,,0,,,,,,,,,,
1889,11,23,,,,2,1,6,0,Indonesia,228,JAVA,-7,113.5,,1,,1,,,,,,,,
1889,12,8,,,,1,1,,0,Italy,91,GARGANO PENINSULA,42.05,15.5,,1,,,,,,,,,,
1890,7,11,7,55,,3,1,7.2,0,Iran,3,CASPIAN SEA,36.6,54.6,,2,,,171,,,,,3,,
1891,1,15,3,55,,3,1,,0,Algeria,12,SEA OF ALBORAN,36.5,1.8,,1,,,36,,,,,2,75,
1891,5,19,,,,1,1,,0,Indonesia,228,"SIGLI, ACEH, SUMATRA",5.4,96,,1,,,,,,,,,,
1891,6,10,,,,3,0,,0,Indonesia,228,N. MOLUCCAS ISLANDS,-0.5,127.5,,1,,0.5,,,,,,,,
1891,6,20,,,,3,0,,0,Indonesia,228,BANDA SEA,-4,129,,3,,0,,,,,,,,
1891,6,22,23,0,,2,1,,0,New Zealand,86,NEW ZEALAND,-37.4,174.4,,1,,,,,,,,,,
1891,7,30,,,,1,2,,0,Mexico,59,N. MEXICO,25.5,-103.5,,1,,1,,,,,,,,
1891,9,16,21,30,,2,0,,0,New Zealand,86,NEW BRIGHTON,-43.51,172.73,,1,,,,,,,,,,
1891,10,5,,,,3,1,7,0,Indonesia,228,TIMOR SEA,-9,124,,1,,0.5,,,,,,,,
1891,11,29,23,21,,3,3,,4,United States of America,283,WASHINGTON,48,-123.5,2.44,3,1.3,,,,,,,,,
1892,1,7,,,,-1,6,,0,Indonesia,228,"AURI, HALMAHERA",,,,0,,,,,,,,,,
1892,3,27,,,,2,1,,0,Chile,151,NORTHERN CHILE,-18.5,-70.35,,1,,,,,,,,1,,
1892,5,10,,,,1,0,,0,Uruguay,3,MONTEVIDEO,-34.917,-56.167,,0,,,,,,,,,,
1892,5,16,11,10,,4,1,7.5,0,United States of America,283,"GUAM, MARIANA ISLANDS",14,143.3,,1,,0.5,,,,,,2,,
1892,5,17,12,10,,3,1,,0,Indonesia,228,NORTHEAST SUMATRA,2.5,99.5,,6,,1,,,,,,2,,
1892,6,7,,,,4,6,,0,Indonesia,228,"AWU VOLCANO, SANGIHE ISLAND",3.67,125.5,0.75,5,1,1,1532,,,,,3,,
1892,8,30,,,,3,6,,0,Tonga,19,TOFUA,-19.75,-175.07,,2,,,,,,,,,,
1892,8,,,,,2,0,,0,Vanuatu,36,ESPIRITU SANTO ISLAND,-15.25,166.83,,1,,1.5,,,,,,,,
1892,11,15,11,20,,1,1,,0,Italy,91,TYRRHENIAN SEA,40.54,13,,0,,,,,,,,,,
1892,11,18,,,,3,1,7,0,Indonesia,228,SERAM ISLAND,-3,127.75,,1,,-1,,,,,,,,
1892,12,9,,,,4,1,6.5,0,Japan,225,SW. HONSHU ISLAND,37,136.8,,2,,0,1,,,,,,2,
1893,1,28,,,,1,0,,0,Greece,113,SAMOTHRACE,,,,0,,,,,,,,,,
1893,2,9,,,,4,1,6.5,0,Greece,113,SAMOTHRACE,40.5,25.5,1,2,,3,1,,,,,2,,
1893,2,19,,,,2,1,,0,Jamaica,5,KINGSTON,17.97,-76.8,,1,,,,,,,,,,
1893,4,17,5,6,,3,1,6.4,0,Greece,113,IONIAN SEA,37.7,20.9,,0,,,,,,,,,,
1893,6,4,2,27,0,4,1,7,0,Russia,90,S. KURIL ISLANDS,43.3,147.5,3,3,1.6,1.5,,,,,,,,
1893,6,13,,,,4,1,6.9,0,Japan,225,"NEMURO, JAPAN",42.5,145.5,,1,,1,,,,,,,,
1893,6,14,,,,2,1,7.5,0,Albania,10,ALBANIAN COASTS,40.2,19.7,,0,,3,,,,,,3,,
1893,6,21,6,50,,0,1,,0,Philippines,79,AGUnited States of AmericaN RIVER,6.9,125.8,,1,,,,,,,,2,,
1893,7,31,,,,1,1,6,0,Vanuatu,36,"PORT VILA, EFATE ISLAND",-17.75,168.3,,1,,0,,,,,,,,
1893,8,27,,,,2,0,,0,Vanuatu,36,"PORT VILA, EFATE ISLAND",-17.75,168.3,,1,,0,,,,,,,,
1894,3,22,10,23,,4,1,7.9,0,Japan,225,SE. HOKKAIDO ISLAND,42.5,146,4,20,2,1.5,1,,,6,,2,,99
1894,4,27,19,21,,4,3,7,1,Greece,113,NORTH EVOIKOS GULF,38.7,23.1,3,2,1.6,4,,,,,,,,
1894,5,10,,,,2,0,,0,Mexico,59,OFF WEST COAST,25.4,-108.95,6,2,,,,,,,,,,
1894,7,10,12,33,,4,1,6.7,0,Turkey,25,MARMARA SEA,40.6,28.7,4.5,3,,3,,,,,,3,,
1894,10,22,8,35,,4,1,7,0,Japan,225,"YAMAGATA, JAPAN",38.9,139.8,,0,-1,-1,726,,,,,,3858,
1894,11,16,18,52,,2,1,,0,Italy,91,CALABRIAN ARC,38.3,15.9,,0,,,101,,,,,3,,
1894,11,21,,,,2,0,,0,Atlantic Ocean,4,ATLANTIC OCEAN,49,-34.5,12.2,1,3.6,,,,,,,,,
1894,11,28,,,,3,8,,0,United States of America,283,"PUYALLUP RIVER DELTA, TACOMA, WA",47.286,-122.445,3,1,,,2,,,,,1,,
1894,,,,,,2,0,,0,Tunisia,2,BALEARIC SEA,,,1,1,,3,,,,,,1,,
1895,1,28,,,,-1,9,,0,United States of America,283,HAWAII,,,,1,,,,,,,,,,
1895,3,6,8,35,,4,1,7.3,0,Papua New Guinea,75,SOLOMON SEA,-8.4,150.1,6,6,2.6,2,,,,,,2,,
1895,3,9,,,,2,8,,0,United States of America,283,S. CALIFORNIA,,,,1,,,,,,,,,,
1895,5,25,,,,1,1,,0,Japan,225,W. KYUSHU ISLAND,33,130,,1,,0.5,,,,,,,,
1895,5,31,,,,4,1,,0,Chile,151,NORTHERN CHILE,-18,-71,,17,,,,,,,,1,,
1895,7,8,21,30,,2,1,8.2,0,Turkmenistan,1,CASPIAN SEA,39.5,53.7,,1,,,,,,,,3,,
1895,7,9,5,30,,4,8,,0,New Zealand,86,PIEGON BAY,-43.688,172.9,5,0,,,,,,,,,,
1895,7,,,,,1,8,,0,United States of America,283,S. CALIFORNIA,,,,1,,,,,,,,,,
1895,8,18,6,57,,4,3,6,0,New Zealand,86,"LAKE TAUPO, NORTH ISLAND",-38.8,176,,1,,,,,,,,,,
1895,9,1,11,9,,3,1,4.3,0,United States of America,283,"HIGH BRIDGE, NJ",40.667,-74.883,,1,,,,,,,,,,
1895,10,14,,,,-1,9,,0,United States of America,283,N. CALIFORNIA,,,,1,,,,,,,,,,
1895,10,31,11,8,,0,1,6.7,0,United States of America,283,"CHARLESTON, MO",37,-89.4,,1,,,,,,,,,,
1895,11,1,,,,1,1,,0,Italy,91,TYRRHENIAN SEA,41.7,12.2,,0,,3,,,,,,,,
1896,1,9,,,,4,1,7.6,0,Japan,225,"KASHIMA, JAPAN",36.5,141,0.25,6,,-2.5,,,,,,,,
1896,2,16,18,0,,2,1,,0,Jamaica,5,KINGSTON,17.6,-76.7,,1,,,,,,,,2,,
1896,6,15,10,33,,4,1,8.3,4,Japan,225,SANRIKU,39.5,144,38.2,72,5.2,3.8,27122,,,13247,,4,11000,
1896,10,10,,,,2,1,6.8,0,Indonesia,228,SW. SUMATRA,-3.5,102.5,,1,,0,,,,,,1,,
1896,10,16,6,15,,1,1,,0,Italy,91,LIGURIAN SEA,43.7,8.1,,0,,2,,,,,,,,
1896,11,5,2,50,,3,1,,0,Greece,113,IONIAN SEA,,,,0,,,,,,,,,,
1896,12,17,,,,-1,9,,0,United States of America,283,"SANTA BARBARA, CA",,,2.5,1,1.3,1.5,,,,,,,,
1896,,,,,,4,1,,0,Iceland,6,ICELAND,,,,0,,,,,,,,,,
1897,2,19,20,50,,4,1,7.4,0,Japan,225,SANRIKU,38.1,141.9,1,2,,,,,,,,2,,
1897,3,15,,,,2,1,5.5,0,Indonesia,228,FLORES SEA,-6.8,120.8,,1,,1,,,,,,,,
1897,3,26,,,,3,6,,0,Solomon Islands,46,"TINAKULA, SANTA CRUZ ISLANDS",-10.38,165.8,,1,,,,,,,,1,,
1897,4,17,,,,2,8,,0,United States of America,283,"GULF OF ALASKA, AK",,,,1,,,,,,,,1,,
1897,4,29,,,,1,0,,0,New Zealand,86,OFF EAST COAST OF SOUTH ISLAND,-43.6,172.8,,1,,,,,,,,,,
1897,6,12,11,6,,0,1,8.7,0,India,15,ASSAM,26,91,,1,,,1542,,,,,4,,
1897,6,20,,,,2,1,7,0,Mexico,59,S. MEXICO,16,-95,,0,,,,,,,,2,,
1897,8,5,0,10,0,4,1,7.7,0,Japan,225,SANRIKU,38,143.7,3.6,37,1.5,1,,,,,,1,,
1897,9,20,19,6,,1,1,8.6,0,Philippines,79,SULU SEA,6,122,2,1,,1,,,,,,1,,
1897,9,21,5,12,,4,1,8.7,0,Philippines,79,SULU SEA,6,122,7,13,2.6,2.5,13,,,14,,3,,
1897,9,21,7,14,,1,1,,0,New Zealand,86,WELLINGTON,-41.3,174.8,1,1,,,,,,,,,,
1897,10,18,23,48,,3,1,8.1,0,Philippines,79,SAMAR ISLAND,12,126,,2,,1.5,,,,,,2,17,
1897,12,29,10,32,,1,1,,0,Dominican Republic,4,SANTO DOMINGO,18.5,-69.95,,0,,,,,,,,2,,
1897,12,,,,,1,1,,0,Greece,113,IONIAN ISLANDS,,,,0,,,,,,,,,,
1897,,,,,,1,1,,0,Montserrat,5,SOUFRIERE HILLS VOLCANO,16.72,-62.18,,0,,,,,,,,,,
1898,3,31,7,43,,1,9,6.2,0,United States of America,283,"OAKLAND, N. CALIFORNIA",38.2,-122.4,0.31,1,2,2,,,,,,,,
1898,4,22,23,37,,4,1,7.2,0,Japan,225,HONSHU ISLAND,38.6,142,0.1,2,,-3,,,,2,,3,,
1898,6,2,21,40,,3,1,7,0,Greece,113,"PELOPONNESUS, GREECE",37.6,22.5,,0,,,,,,,,,,
1898,7,23,2,17,,1,1,6.5,0,Chile,151,CENTRAL CHILE,-36.83,-73.03,,1,,,6,,,,,2,,
1898,12,3,5,50,,2,1,,0,Greece,113,IONIAN ISLANDS,37.75,21,,1,,3,,,,,,1,,
1899,1,15,,,,3,1,,0,Papua New Guinea,75,"EAST COAST, NEW IRELAND",-3,152,,13,,1.5,,,,,,2,,
1899,1,22,7,56,,2,1,6.6,0,Greece,113,IONIAN SEA,37.2,21.6,1,2,,3,,,,,,,,
1899,1,29,,,,1,1,,0,Australia,21,NORTHERN AUSTRALIA,-12.4,130.7,1.8,1,,,,,,,,,,
1899,2,3,,,,1,0,,0,Portugal,16,AZORES,38.64,-28.03,10,1,,,1,,,,,2,,
1899,8,8,,,,1,0,,0,Chile,151,CENTRAL CHILE,-33,-71.5,,1,,,,,,,,3,,
1899,9,4,0,22,,4,1,8.2,1,United States of America,283,"CAPE YAKATAGA, AK",60,-142,3.1,4,,0,,,,,,1,,
1899,9,10,21,41,,4,3,8.2,0,United States of America,283,"YAKUTAT BAY, AK",60,-140,60.96,12,5.9,3,,,,,,3,,
1899,9,29,17,3,,4,3,7.8,0,Indonesia,228,BANDA SEA,-3,128.5,12,10,3.6,3,2460,,,300,,3,,
1899,10,7,,,,2,0,,0,Japan,225,TAGONOURA,35.1,138.75,,1,,1,,,,,,,,
1899,10,19,9,16,,2,1,,0,Papua New Guinea,75,BISMARCK SEA,-5,148,,2,,1.5,,,,,,2,,
1899,11,24,18,43,,4,1,7.1,0,Japan,225,SEIKAIDO,31.9,132,0.3,1,-1.7,-1,,,,,,1,,
1899,11,25,18,55,,4,1,6.9,0,Japan,225,SEIKAIDO,32.7,132.3,,1,-1,-2,,,,,,,,
1899,12,25,12,25,,1,9,6.4,0,United States of America,283,S. CALIFORNIA,33.8,-118.5,,1,,0.5,,,,,,,,
1899,,,,,,3,0,,0,Vietnam,6,NORTH CENTRAL VIETNAM,19,106,3,1,,,,,,,,1,,
1900,1,10,,,,1,1,,0,Indonesia,228,"GALELA, HALMAHERA ISLAND",1.82,127.85,,1,,0,,,,,,,,
1900,8,11,4,40,,4,3,,0,United States of America,283,"LITUYA BAY, AK",58.6,-137.5,,1,,,5,,,,,1,,
1900,9,10,21,30,,4,1,6.8,0,Papua New Guinea,75,BISMARCK SEA,-4,152,,3,,,,,,,,1,,
1900,9,17,21,45,,3,1,7.1,0,Papua New Guinea,75,RABAUL HARBOR,-5,148,3,1,,1.5,,,,,,,,
1900,10,7,21,4,,3,1,6.9,0,Indonesia,228,BISMARCK SEA,-4,140,,4,1,1.5,5,,,,,1,1,
1900,10,29,9,11,,3,1,7.7,0,Venezuela,20,MANCUTO,11,-66,10,5,,,25,,,,,3,,
1901,3,3,7,45,,3,3,6.7,0,United States of America,283,"MONTEREY BAY, N. CALIFORNIA",36,-120.5,,1,,,,,,,,,,
1901,3,31,7,12,,3,1,7.2,0,Bulgaria,2,BLACK SEA,43.4,28.5,3,1,,4,4,,,50,,3,1200,
1901,6,15,,,,4,1,6,0,Japan,225,"IWATE, JAPAN",39,143,,0,,,,,,,,,,
1901,6,24,,,,4,1,7.5,0,Japan,225,RYUnited KingdomYU ISLANDS,28,130.3,0.25,4,-2.3,-1.5,,,,,,1,,
1901,8,9,9,23,30,4,1,7.2,0,Japan,225,OFF NORTHEAST COAST HONSHU,40.5,142.5,0.6,3,0,-0.5,,,,,,2,,
1901,8,9,13,1,,4,1,7.9,0,New Caledonia,19,LOYALTY ISLANDS,-22,170,1.2,10,-0.7,,,,,,,2,,
1901,8,9,18,33,45,4,1,7.4,0,Japan,225,OFF NORTHEAST COAST HONSHU,40.6,142.3,0.25,2,-1,-1,18,,,,,2,8,
1901,8,9,20,0,,4,1,6.3,0,Japan,225,OFF NORTHEAST COAST HONSHU,40.5,142.5,0.02,1,-1,,,,,,,,,
1901,9,10,0,30,,2,1,7,0,Philippines,79,E. LUZON ISLAND,14,121.6,,1,,0,,,,,,2,,
1901,10,8,2,16,,3,1,7,0,Nicaragua,6,NICARAGUA,11,-86.5,1.5,1,,,,,,,,1,,
1901,12,31,9,2,30,1,1,7.1,0,United States of America,283,"FOX ISLANDS, ALEUTIAN ISLANDS, AK",51.45,-171.02,,1,,,,,,,,,,
1902,1,18,23,23,,1,2,6.3,0,Guatemala,6,OCOSA,14.71,-91.59,,0,,,,,,,,1,,
1902,2,26,,,,3,1,7,0,El Salvador,8,EL SALVADOR-GUATEMALA,13.5,-89.5,,4,2.3,2,185,,,100,,3,,
1902,4,19,2,23,30,0,1,7.5,0,Guatemala,6,OCOS,14,-91,,0,,,2000,,,,,3,,
1902,5,5,,,,4,7,,1,Martinique (French Territory),9,MOUNT PELEE,14.82,-61.17,5,1,,,23,,,,,,,
1902,5,7,,,,4,6,,1,Saint Vincent And The Grenadines,1,SOUFRIERE VOLCANO,13.33,-61.18,1,3,,,1680,,,,,1,,
1902,5,8,,,,2,6,,0,Martinique (French Territory),9,MOUNT PELEE,14.82,-61.17,,1,,,28000,,,,,,,
1902,5,20,,,,2,6,,0,Martinique (French Territory),9,MOUNT PELEE,14.82,-61.17,,4,,,,,,,,,,
1902,6,6,,,,2,0,,0,Martinique (French Territory),9,FORT-DE-FRANCE,14.602,-61.065,,1,,,,,,,,,,
1902,7,5,14,56,30,3,1,6.6,0,Greece,113,AEGEAN SEA,40.75,23.25,,1,,2,,,,,,,,
1902,7,8,,,,2,0,,0,Martinique (French Territory),9,MARTINIQUE,14.553,-61.009,,1,,,,,,,,,,
1902,8,16,8,11,36,1,1,,0,Mexico,59,MEXICO,24.6,-107.9,,1,,,,,,,,,,
1902,8,21,11,17,,1,1,7.3,0,Philippines,79,"ILLANA BAY, CELEBES SEA",7.5,123.5,,1,,2,,,,,,3,,
1902,8,30,,,,4,6,,0,Martinique (French Territory),9,MOUNT PELEE,14.82,-61.17,1,1,,,1500,,,,,,,
1902,9,27,,,,1,2,,0,Guatemala,6,OCOS,14,-91,,0,,,,,,,,1,,
1903,2,10,2,28,,1,1,,0,United States of America,283,"GUAM, MARIANA ISLANDS",14,143.3,0.15,1,,2,,,,,,1,,
1903,3,30,,,,2,1,6.5,0,Indonesia,228,BANDA SEA,-3,127.5,1,2,-0.5,0,,,,,,,,
1903,5,13,,,,1,1,,0,Italy,91,CALABRIAN ARC,38.1,13.4,,0,,2,,,,,,,,
1903,7,16,,,,1,1,,0,Mexico,59,S. MEXICO,16.7,-99.2,,0,,,,,,,,,,
1903,8,,,,,2,6,,0,United States of America,283,"COOK INLET, AK",,,,1,,,,,,,,,,
1903,9,7,,,,1,1,,0,Taiwan,21,TAIWAN,,,,1,,0,,,,,,,,
1903,9,26,,,,2,1,,0,Chile,151,NORTHERN CHILE,-20.2,-70.15,,1,,,,,,,,,,
1903,10,6,6,30,,-1,9,,0,United States of America,283,HAWAII,,,,1,,,,,,,,,,
1903,10,8,,,,-1,9,,0,United States of America,283,HAWAII,,,,1,,,,,,,,,,
1903,10,20,,,,3,0,,0,Canada,25,"BLACKLEAD ISLAND, CUMBERLAND SOUND",64.98,-66.2,,1,,,,,,,,,,
1903,11,17,,,,1,9,,0,United States of America,283,HAWAII,,,,1,,,,,,,,,,
1903,11,24,,,,4,9,,0,United States of America,283,HAWAII,,,,1,,,,,,,,,,
1903,11,29,,,,0,9,,0,United States of America,283,HAWAII,,,15.7,3,3.9,3,,,,,,,,
1903,12,7,14,25,,3,1,6.5,0,Chile,151,NORTHERN CHILE,-28.5,-71,,1,,,,,,,,2,,
1904,1,20,14,52,6,1,1,7.9,0,Colombia,8,OFF THE COAST PANAMA-COLOMBIA,7,-79,,1,,,,,,,,,,
1904,2,2,,,,2,0,,0,Indonesia,228,CELEBES SEA,1.5,120.8,,1,,0.5,,,,,,,,
1904,3,30,,,,-1,9,,0,United States of America,283,WASHINGTON-OREGON,,,,5,,0.5,,,,,,,,
1904,6,25,14,45,36,4,1,8.3,0,Russia,90,"KAMCHATKA PENINSULA, RUSSIA",52,159,,1,1,2,,,,,,,,
1904,6,25,21,0,36,3,1,8.1,0,Russia,90,"KAMCHATKA PENINSULA, RUSSIA",52,159,,0,1,,,,,,,,,
1904,7,5,,,,1,1,,0,Indonesia,228,BANDA SEA,-3.6,128.7,,1,,1,,,,,,1,,
1904,8,8,22,50,0,1,1,7.2,0,New Zealand,86,CAPE TURNAGAIN,-40.4,176.4,3,0,,,,,,,,,,
1904,8,25,10,0,,1,2,,0,New Zealand,86,NEW ZEALAND,-39.12,177.2,,0,,,,,,,,,,
1904,9,7,,,,1,1,,0,Indonesia,228,S. JAVA,-7.7,109,,1,,0,,,,,,,,
1904,12,20,5,44,18,2,1,7.2,0,Panama,10,BOCAS DEL TORO,9.2,-82.8,,1,,,,,,,,,,
1904,12,30,,,,-1,0,,0,Cook Islands,4,COOK IS.,,,,0,,,,,,,,,,
