Year,Mo,Dy,Hr,Mn,Sec,Tsunami Event Validity,Tsunami Cause Code,Earthquake Magnitude,Deposits,Country,Occurences,Location Name,Latitude,Longitude,Maximum Water Height (m),Number of Runups,Tsunami Magnitude (Iida),Tsunami Intensity,Total Deaths,Total Missing,Total Missing Description,Total Injuries,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Damaged
1816,12,20,,,,-1,8,,0,Japan,225,"W. IZU PENIN., JAPAN",,,,1,1,1,,,,,,,,
1817,1,1,,,,1,1,,0,Greece,113,IONIAN SEA,,,,0,,,,,,,,,,
1817,1,8,,,,0,1,,0,United States of America,283,"PHILADELPHIA, PENNSYLVANIA",39.95,-75.1,0.3,1,,,,,,,,,,
1817,1,14,3,30,,1,1,,0,Italy,91,SICILY CHANNEL,37.5,13,,1,,3,,,,,,,,
1817,8,23,8,,,3,1,6.8,0,Greece,113,CORINTHOS-PATRAS GULF,38.3,22.1,5,2,,3,,,,,,,,
1818,1,,,,,1,1,,0,Greece,113,ATHENS,,,,1,,,,,,,,,,
1818,2,20,18,15,,4,1,6,0,Italy,91,EASTERN SICILY,37.6,15.133,,1,,3,72,,,,,,,
1818,2,23,18,10,,2,1,5.6,0,Italy,91,LIGURIA-COTE D'AZUR,43.917,8.033,,3,,3,,,,,,,,
1818,3,18,,,,3,3,7,0,Indonesia,228,"BENGKULU, SUMATRA",-4,101.5,,1,,1.5,,,,,,1,,
1818,11,8,,,,2,1,8.5,0,Indonesia,228,BALI SEA,-7,117,3.5,1,,2,,,,,,2,,
1818,12,9,,,,2,1,,0,Italy,91,GENOA,44.75,10.4,,1,,3,,,,,,,,
1819,1,8,11,30,,2,1,,0,Italy,91,GENOA,43.7,8,,1,,3,,,,,,,,
1819,4,12,3,0,,4,1,8.5,0,Chile,151,NORTHERN CHILE,-27,-71.5,4,10,2,2,,,,,,3,,
1819,6,16,,,,3,1,7.7,0,India,15,KUTCH,23,71,,1,,,1543,,,,,4,1547,
1819,8,31,,,,3,1,5.8,0,Norway,24,NORWAY:  RANA REGION: LUROY,66.416,12.85,,1,,,,,,,,1,,
1819,,,,,,2,6,,0,United States of America,283,"ASUNCION ISLAND, N. MARIANA ISLANDS",19.67,145.4,,1,1,1,,,,,,,,
1820,3,1,,,,2,6,,0,United States of America,283,"E. ALEUTIAN ISLANDS, AK",54.52,-164.65,,1,,0.5,,,,,,,,
1820,3,17,,,,-1,1,6.6,0,Greece,113,ISLAND OF LEVKAS,38.8,20.8,,1,,,,,,,,,,
1820,5,4,,,,4,1,7.6,0,Mexico,59,S. MEXICO,17.2,-99.6,4,1,1,1.5,,,,,,3,,
1820,7,23,,,,2,0,,0,Italy,91,GENOA,,,,1,,3,,,,,,,,
1820,12,29,,,,2,1,6.9,0,Greece,113,ISLAND OF ZAKYNTHOS,37.75,21.25,,1,,3,8,,,,,1,79,
1820,12,29,,,,4,1,7.5,0,Indonesia,228,FLORES SEA,-7,119,25,7,4,3.5,500,,,,,2,,
1820,,,,,,3,8,,0,United States of America,283,"CAMANO ISLAND, WA",48.06,-122.36,,2,,,,,,,,,,
1820,,,,,,2,1,6.2,0,Congo,2,GOLD COAST,-4.5,11.6,,2,,,,,,,,1,,
1821,1,6,,,,4,1,6.5,1,Greece,113,IONIAN SEA,37.8,21.3,,1,,,,,,,,,,
